season_nr,Ranking,Team,Total,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293
8,1,Sexwave,288.5,10,,9,4,7.5,6,9,9,4,7,8.5,9,7.5,7,6,10,10,10,7,2.5,10,6.5,10,,7.5,10,9,7,9,10,2.5,6.5,8,10,6,10,7,6.5,10
8,2,Verine Akordion,282.5,9,10,,5,6,9,7,10,9,8,8.5,6,9,6,8,9,4,8.5,6,10,7,,2.5,8,7.5,6,7.5,10,6.5,7,10,8,9,9,7,8,8,9,4.5
8,3,Mikri Hiir,266,0.5,8,7.5,10,,10,8,5,7,10,6,7,10,10,5,1,2,3,10,8,4,10,6,9,9,,3,8,10,8,2.5,6.5,10,8,10,7,9,10,8
8,4,Autorollo,250.5,7,6,6,8,9,,10,4,10,9,7,4,4,8,10,7.5,8,7,9,6,9,6.5,7.5,5,,7,10,3.5,4,6,6.5,10,4,7,8.5,6,,3.5,7
8,5,Softgrunge,183.5,3.5,9,7.5,9,1,5,,7,8,,4,8,7.5,5,7,,4,8.5,,7,,,,10,3,9,6,,2.5,5,4.5,,7,6,8.5,9,3,8,1
8,6,Lootuste Linnutee,161.8,8,7,1,,10,8,3,,,,,2,6,9,9,5,4,,8,9,6,4,9,3.5,10,5,,,8,2,1,5,0.3,,0.5,2,4,6.5,6
8,7,Tuulispask,161,5,1.5,4,1,,7,1,,,1,10,10,5,4,1,6,7,,4,1,5,8,2.5,1.5,1,2,7.5,9,2.5,,9,9,6,3,4.5,1,10,2,9
8,8,Hullud Ponid,143,3.5,4,10,,7.5,3,4.5,6,5.5,3,,5,3,,4,,1,4.5,5,4,1,9,,,6,8,1,1,,9,4.5,4,3,5,2.5,,6,5,4.5
8,9,Erinevad Hundid,100.5,,,3,2,4,4,4.5,2.5,5.5,3,5,,2,3,,,,2,3,,8,5,7.5,3.5,5,3.5,2,2,,3.5,,3,5,4,,5,,,
8,10,AO,100.5,6,3,5,7,,,6,8,2,,,,,2,,7.5,,,,,3,2,4,7,2,1,,3.5,5,1,8,,,2,4.5,3,5,,3
8,11,Kanye Westons,81,,5,2,6,2,2,2,1,3,,1,3,,1,3,2,,6,,,2,,0.5,6,,3.5,5,5,6.5,3.5,,,2,,2.5,,2,3.5,
8,12,Ma Tean Seda Lugu Küll,44.8,2,,,3,,1,,2.5,,6,,1,1,,,3,,1,1,2.5,,3,5,1.5,4,,4,,,,,1,0.3,,,,1,1,
8,13,Lendavad Ruudulised Sebrad,22,,1.5,,,,,,,,5,2.5,,,,,,6,,,5,,,0.5,,,,,,1,,,,,,0.5,,,,
8,14,Rock Üllatus,16.5,,,,,,,,,,,,,,,,4,,,,,,,,,,,,6,,,6.5,,,,,,,,
8,15,Hommik,15,,,,,5,,,,,,,,,,,,9,,,,,1,,,,,,,,,,,,,,,,,
8,16,Liiviste,13.5,,,,,3,,,,1,3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
8,17,Karini Saiad,6.5,,,,,,,,,,,,,,,2,,,4.5,,,,,,,,,,,,,,,,,,,,,
8,18,Liiga Palju Möla,5.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.3,1,,,,,2
8,19,Kuulaja Kõrva Ei Röögita,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
