season_nr,Ranking,Team,Total,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339
10,1,Mikri Hiir,147.5,10,10,,10,7,5,9,,10,8,9,6,9,9,9,6.5,10,10,10
10,2,(S)exwave,135.5,9,9,9,,8,4,3,8,9,9,8,7,8,7,6,8,8,7.5,8
10,3,Verine Akordion,125.5,6,5,5,6,,9,8,10,6.5,5,10,4,5,10,7,10,5,5,9
10,4,Autorollo,118.5,7,8,10,4,5,10,7,9,,6,7,5,1,5,10,6.5,6,9,3
10,5,Lootuste Linnutee,103,8,,6,9,4,7,,5,8,10,6,9,7,6,,5,9,2,2
10,6,Tuulispask,100,5,6,7.5,2,9,7,,1,6.5,7,,2,6,4,8,9,7,7.5,5.5
10,7,Softgrunge,81,4,3,7.5,,10,7,,6.5,4,,,8,10,8,,,,6,7
10,8,Hullud Ponid,52.5,2,4,2,8,3,,5,2.5,2,1,4,2,,3,2,3,,3.5,5.5
10,9,Audio Video Disko,48,3,7,1,1,6,3,6,4,1,2,,,4,2,5,,3,,
10,10,Lendavad ruudulised sebrad,40.5,,,,,1.5,,1.5,,5,3.5,5,10,2,,3,4,4,,1
10,11,Karini Saiad,29,1,,4,,1.5,1,1.5,2.5,3,3.5,3,2,3,1,,,2,,
10,12,Erinevad Hundid,18.5,,,,3,,,,6.5,,,,,,,4,0.5,1,3.5,
10,13,Kuulaja kõrva ei röögita,18,,,3,5,,2,4,,,,,,,,,,,,4
10,14,Kanye Westons,10,,,,,,,10,,,,,,,,,,,,
10,15,Poisonous Monkey,7,,,,7,,,,,,,,,,,,,,,
10,16,Liiga Palju Möla,3.5,,,,,,,,,,,2,,,,,0.5,,1,
10,17,10 inch toes,1,,,,,,,,,,,,,,,1,,,,
